,Name job,Link,Min_salary,Max_salary,Where,Employer,Employer_link,Address
0,Разработчик Python,https://hh.ru/vacancy/49041173?from=vacancy_search_list&query=Python,187000.0,338000.0,hh.ru,ИП Брусова Татьяна Анатольевна,https://hh.ru/employer/5544696,Москва
1,"DevOps Engineer (Bash, Python, Centos/ Debian/ Ubuntu)",https://hh.ru/vacancy/49041292?from=vacancy_search_list&query=Python,160000.0,284000.0,hh.ru,ИП Брусова Татьяна Анатольевна,https://hh.ru/employer/5544696,Москва
2,Backend Python developer,https://hh.ru/vacancy/48978887?from=vacancy_search_list&query=Python,139000.0,243000.0,hh.ru,"Metapix, Inc",https://hh.ru/employer/4883629,Москва
3,"DevOps инженер (Bash, Python, AWS/ GCP)",https://hh.ru/vacancy/49041322?from=vacancy_search_list&query=Python,160000.0,284000.0,hh.ru,ИП Брусова Татьяна Анатольевна,https://hh.ru/employer/5544696,Москва
4,Python разработчик,https://hh.ru/vacancy/47682360?from=vacancy_search_list&query=Python,,380000.0,hh.ru,Точка,https://hh.ru/employer/2324020,Москва
5,Junior разработчик Python Django,https://hh.ru/vacancy/48768385?from=vacancy_search_list&query=Python,40000.0,80000.0,hh.ru,ООО Инсейлс Рус,https://hh.ru/employer/1805574,"Москва, Комсомольская"
6,Junior Python разработчик,https://hh.ru/vacancy/48969346?from=vacancy_search_list&query=Python,,,hh.ru,ANABAR,https://hh.ru/employer/4872201,Москва
7,Junior Data Engineer (Python),https://hh.ru/vacancy/47914759?from=vacancy_search_list&query=Python,120000.0,120000.0,hh.ru,DataFork,https://hh.ru/employer/3319598,"Москва, Выставочная и еще 2 "
8,Python разработчик (Junior +/Middle/Senior),https://hh.ru/vacancy/49000269?from=vacancy_search_list&query=Python,120000.0,,hh.ru,ООО ВБЦ,https://hh.ru/employer/2005098,Москва
9,Python разработчик junior,https://hh.ru/vacancy/48816383?from=vacancy_search_list&query=Python,30000.0,60000.0,hh.ru,amoCRM,https://hh.ru/employer/999442,"Москва, Таганская"
10,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?from=vacancy_search_list&query=Python,60000.0,150000.0,hh.ru,ООО Фабрика Решений,https://hh.ru/employer/4596113,"Москва, Сухаревская"
11,Senior Back-end Engineer (Python),https://hh.ru/vacancy/48855094?from=vacancy_search_list&query=Python,330000.0,520000.0,hh.ru,Corrily,https://hh.ru/employer/5787201,Москва
12,Разработчик Python,https://hh.ru/vacancy/48887753?from=vacancy_search_list&query=Python,150000.0,,hh.ru,"Hello, Doc!",https://hh.ru/employer/4744797,"Москва, Алексеевская"
13,Разработчик Rust/Разработчик Go/Разрабочтик python(удаленно),https://hh.ru/vacancy/48457284?from=vacancy_search_list&query=Python,300000.0,,hh.ru,ArtVolkov.ru,https://hh.ru/employer/578702,Москва
14,Python Backend Developer Blockchain,https://hh.ru/vacancy/48663627?from=vacancy_search_list&query=Python,250000.0,450000.0,hh.ru,ИП Валовой Сергей Александрович,https://hh.ru/employer/5420312,Москва
15,Middle Python-разработчик,https://hh.ru/vacancy/49121141?from=vacancy_search_list&query=Python,250000.0,,hh.ru,FINPAY,https://hh.ru/employer/5211392,"Москва, Менделеевская"
16,Бэкенд-разработчик Python/Middle Python/ Python Developer (Remote),https://hh.ru/vacancy/48638057?from=vacancy_search_list&query=Python,150000.0,220000.0,hh.ru,"ЮТэйр, Авиакомпания",https://hh.ru/employer/17713,Москва
17,Senior Python-разработчик,https://hh.ru/vacancy/49121112?from=vacancy_search_list&query=Python,300000.0,,hh.ru,FINPAY,https://hh.ru/employer/5211392,"Москва, Менделеевская"
18,Python Team Lead (python3.8. + django),https://hh.ru/vacancy/48493368?from=vacancy_search_list&query=Python,350000.0,400000.0,hh.ru,TopsWeTeam,https://hh.ru/employer/5753850,Москва
19,Middle Python/Flask developer,https://hh.ru/vacancy/48641636?from=vacancy_search_list&query=Python,180000.0,250000.0,hh.ru,ООО Эксперум,https://hh.ru/employer/3912653,Москва
20,Python-разработчик во Flow,https://hh.ru/vacancy/45987511?from=vacancy_search_list&query=Python,,,hh.ru,Яндекс,https://hh.ru/employer/1740,Москва
